;Nome;Motor;Ano;Quilometragem;Zero_km;Acessórios;Valor
0;Jetta Variant;Motor 4.0 Turbo;2003;44410.0;False;['Rodas de liga', 'Travas elétricas', 'Piloto automático', 'Bancos de couro', 'Ar condicionado', 'Sensor de estacionamento', 'Sensor crepuscular', 'Sensor de chuva'];88078.64
1;DS5;Motor 2.4 Turbo;2019;;True;['Travas elétricas', '4 X 4', 'Vidros elétricos', 'Sensor crepuscular', 'Sensor de chuva', 'Câmera de estacionamento', 'Ar condicionado', 'Rodas de liga'];124549.07
2;Aston Martin DB4;Motor 2.4 Turbo;2006;25757.0;False;['Rodas de liga', '4 X 4', 'Central multimídia', 'Ar condicionado', 'Controle de estabilidade', 'Câmbio automático', 'Sensor de estacionamento', 'Piloto automático'];92612.1
3;Palio Weekend;Motor 1.8 16v;2012;10728.0;False;['Sensor de estacionamento', 'Teto panorâmico', 'Sensor crepuscular', 'Painel digital', 'Ar condicionado', 'Rodas de liga', 'Controle de estabilidade', 'Bancos de couro'];97497.73
4;A5;Motor 4.0 Turbo;2019;;True;['Câmbio automático', 'Câmera de estacionamento', 'Freios ABS', 'Controle de tração', 'Central multimídia', 'Travas elétricas', 'Sensor crepuscular', 'Rodas de liga'];56445.2
5;Dodge Jorney;Motor 3.0 32v;2010;99197.0;False;['Vidros elétricos', 'Piloto automático', 'Teto panorâmico', 'Ar condicionado', 'Bancos de couro', 'Câmbio automático', 'Rodas de liga', 'Travas elétricas'];120716.27
6;Carens;Motor 5.0 V8 Bi-Turbo;2011;37978.0;False;['Ar condicionado', 'Painel digital', 'Central multimídia', 'Sensor crepuscular', 'Câmbio automático', 'Rodas de liga', 'Controle de tração', 'Câmera de estacionamento'];76566.49
7;Ford Edge;Motor Diesel V6;2002;12859.0;False;['Sensor crepuscular', 'Rodas de liga', 'Teto panorâmico', 'Sensor de chuva', 'Travas elétricas', 'Sensor de estacionamento', 'Controle de tração', 'Ar condicionado'];71647.59
8;S-18;Motor V6;2001;89773.0;False;['Bancos de couro', 'Sensor de chuva', 'Rodas de liga', 'Central multimídia', 'Travas elétricas', 'Ar condicionado', 'Câmera de estacionamento', 'Sensor crepuscular'];112732.99
9;J5;Motor V6;2019;;True;['Sensor crepuscular', 'Painel digital', 'Rodas de liga', 'Freios ABS', 'Câmbio automático', 'Controle de tração', 'Central multimídia', 'Câmera de estacionamento'];53183.38
10;Série 1;Motor 3.0 32v;2012;46449.0;False;['Teto panorâmico', 'Câmera de estacionamento', 'Travas elétricas', '4 X 4', 'Painel digital', 'Central multimídia', 'Rodas de liga', 'Freios ABS'];61118.59
11;RS 3 Sportback;Motor 3.0 32v;2017;15173.0;False;['4 X 4', 'Piloto automático', 'Central multimídia', 'Bancos de couro', 'Sensor de chuva', 'Rodas de liga', 'Ar condicionado', 'Sensor crepuscular'];101726.3
12;Pajero Sport;Motor 1.0 8v;2002;101193.0;False;['Sensor de estacionamento', 'Piloto automático', 'Câmbio automático', 'Painel digital', 'Freios ABS', 'Câmera de estacionamento', 'Rodas de liga', 'Controle de estabilidade'];106147.38
13;Lamborghini Obvious;Motor Diesel V6;1994;98079.0;False;['Rodas de liga', 'Câmbio automático', 'Travas elétricas', 'Teto panorâmico', 'Controle de estabilidade', 'Central multimídia', 'Sensor de estacionamento', 'Sensor crepuscular'];133529.84
14;Cayman S;Motor 3.0 32v;2002;58848.0;False;['Câmbio automático', 'Sensor de estacionamento', 'Rodas de liga', 'Vidros elétricos', '4 X 4', 'Bancos de couro', 'Painel digital', 'Travas elétricas'];57045.27
15;V40;Motor 4.0 Turbo;1991;94381.0;False;['Câmera de estacionamento', 'Sensor de estacionamento', 'Rodas de liga', 'Controle de tração', 'Freios ABS', 'Câmbio automático', 'Bancos de couro', 'Sensor de chuva'];120432.7
16;Linea;Motor 1.0 8v;2018;17720.0;False;['Piloto automático', 'Painel digital', 'Vidros elétricos', 'Controle de tração', 'Teto panorâmico', 'Ar condicionado', 'Câmera de estacionamento', 'Rodas de liga'];59358.69
17;Ford F100;Motor 2.0 16v;1991;33808.0;False;['Controle de tração', 'Sensor crepuscular', 'Travas elétricas', 'Bancos de couro', 'Câmera de estacionamento', 'Rodas de liga', 'Central multimídia', '4 X 4'];65955.4
